City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
68,Kudahuvadhoo,MV,2.6708,72.8944,81.84,75,55,13.02,broken clouds
69,Arraial Do Cabo,BR,-22.9661,-42.0278,73.47,77,35,19.98,scattered clouds
70,Mehamn,NO,71.0357,27.8492,49.95,81,75,8.05,light intensity drizzle
71,Moshi,TZ,-3.35,37.3333,67.5,80,73,5.01,broken clouds
72,Codrington,AU,-38.2667,141.9667,44.92,77,13,5.17,few clouds
73,Tasiilaq,GL,65.6145,-37.6368,41.16,94,100,3.94,overcast clouds
74,Bredasdorp,ZA,-34.5322,20.0403,52.81,74,0,6.33,clear sky
75,Albany,US,42.6001,-73.9662,90.05,56,100,7.49,overcast clouds
76,Bluff,NZ,-46.6,168.3333,47.8,75,100,11.74,light rain
77,Port Hedland,AU,-20.3167,118.5667,57.25,67,0,8.05,clear sky
78,Coihaique,CL,-45.5752,-72.0662,38.73,98,94,11.05,overcast clouds
79,Busselton,AU,-33.65,115.3333,59.81,83,100,18.52,overcast clouds
80,Shenjiamen,CN,29.9576,122.298,79.79,88,0,7.02,clear sky
81,Rocha,UY,-34.4833,-54.3333,48.69,84,94,16.51,overcast clouds
82,Palmer,US,42.1584,-72.3287,90.21,60,85,10.0,overcast clouds
83,Ucluelet,CA,48.9329,-125.5528,69.62,76,39,7.67,scattered clouds
84,Norman Wells,CA,65.282,-126.8329,68.83,33,12,4.29,few clouds
85,Geraldton,AU,-28.7667,114.6,57.61,94,40,10.36,scattered clouds
86,Gobo,JP,33.8833,135.15,77.79,84,78,5.97,broken clouds
87,Xuddur,SO,4.1213,43.8894,73.06,63,19,18.86,few clouds
88,Bonaventure,CA,48.0457,-65.4926,69.87,69,47,13.87,scattered clouds
89,Riyadh,SA,24.6877,46.7219,88.97,36,100,5.23,overcast clouds
90,Longyearbyen,SJ,78.2186,15.6401,42.64,81,75,19.57,light intensity drizzle rain
91,Sao Joao Da Barra,BR,-21.6403,-41.0511,72.73,79,51,18.97,broken clouds
92,Laguna,US,38.421,-121.4238,96.01,36,0,6.91,clear sky
93,Besikduzu,TR,41.052,39.2284,75.09,83,0,4.29,clear sky
94,Port-Gentil,GA,-0.7193,8.7815,75.16,83,40,8.05,scattered clouds
95,Konstantinovskiy,RU,57.8301,39.5899,67.71,95,100,5.39,light rain
96,Mar Del Plata,AR,-38.0023,-57.5575,50.09,97,100,18.41,mist
97,Ranong,TH,9.9658,98.6348,78.08,88,23,1.68,few clouds
98,Bousso,TD,10.4795,16.7117,75.97,88,100,4.56,overcast clouds
99,Tigil,RU,57.8,158.6667,48.79,82,100,3.94,overcast clouds
100,Flinders,AU,-34.5833,150.8552,50.18,83,61,5.99,broken clouds
101,Torbay,CA,47.6666,-52.7314,62.76,89,100,16.11,mist
102,Kodiak,US,57.79,-152.4072,59.22,58,6,2.42,clear sky
103,Borovoy,RU,55.4333,86.0833,61.88,82,0,6.71,clear sky
104,Aklavik,CA,68.2191,-135.0107,42.58,88,100,7.7,overcast clouds
105,Maldonado,UY,-34.6667,-54.9167,49.23,81,96,17.27,overcast clouds
106,Kapaa,US,22.0752,-159.319,80.19,78,33,4.0,scattered clouds
107,Havelock,US,34.8791,-76.9013,95.05,79,100,8.99,overcast clouds
108,Avarua,CK,-21.2078,-159.775,77.05,83,40,23.02,scattered clouds
109,Merauke,ID,-8.4667,140.3333,76.23,85,100,16.6,overcast clouds
110,Hilo,US,19.7297,-155.09,86.29,85,14,3.0,few clouds
111,Conde,BR,-7.2597,-34.9075,74.7,83,1,10.07,clear sky
112,Cap-Aux-Meules,CA,47.3821,-61.8597,64.69,75,6,5.77,clear sky
113,Menongue,AO,-14.6585,17.691,57.33,28,5,5.08,clear sky
114,Khandyga,RU,62.6667,135.6,64.94,72,96,2.13,overcast clouds
115,Evensk,RU,61.95,159.2333,52.2,60,100,3.53,overcast clouds
116,Qaanaaq,GL,77.484,-69.3632,41.22,68,11,2.95,few clouds
117,Itoman,JP,26.1247,127.6694,82.42,89,20,6.91,few clouds
118,Mizusawa,JP,39.1333,141.1333,70.74,97,64,1.28,broken clouds
119,Cidreira,BR,-30.1811,-50.2056,65.25,93,100,9.95,moderate rain
120,Coruripe,BR,-10.1256,-36.1756,73.8,88,47,12.08,scattered clouds
121,Regina,CA,50.4501,-104.6178,73.04,46,2,4.0,clear sky
122,Novikovo,RU,51.1537,37.8879,66.99,81,75,10.16,broken clouds
123,Alofi,NU,-19.0595,-169.9187,76.6,80,20,23.53,light rain
124,Coquimbo,CL,-29.9533,-71.3436,59.18,75,2,8.59,clear sky
125,Sola,VU,-13.8833,167.55,80.17,78,72,14.88,broken clouds
126,Enschede,NL,52.2183,6.8958,68.09,51,100,5.99,overcast clouds
127,Mount Isa,AU,-20.7333,139.5,47.97,46,2,8.05,clear sky
128,Puerto Carreno,CO,6.189,-67.4859,81.9,75,90,8.57,overcast clouds
129,Ancud,CL,-41.8697,-73.8203,47.52,79,100,4.97,overcast clouds
130,Manzanillo,CU,20.3433,-77.1167,85.17,65,58,7.27,broken clouds
131,Itacoatiara,BR,-3.1431,-58.4442,93.54,34,34,1.95,scattered clouds
132,Touros,BR,-5.1989,-35.4608,77.83,78,5,15.46,clear sky
133,Constitucion,CL,-35.3333,-72.4167,58.28,62,0,13.44,clear sky
134,Nuevitas,CU,21.5453,-77.2644,84.11,67,3,13.29,clear sky
135,Prieska,ZA,-29.6641,22.7474,58.15,33,0,4.65,clear sky
136,Yendi,GH,9.4427,-0.0099,76.28,81,100,4.41,overcast clouds
137,Kimbe,PG,-5.5502,150.1429,74.71,91,83,4.45,broken clouds
138,Severo-Kurilsk,RU,50.6789,156.125,52.77,92,100,9.06,overcast clouds
139,Metro,ID,-5.1131,105.3067,75.96,91,92,2.04,overcast clouds
140,Uryupinsk,RU,50.8047,42.0138,71.62,61,64,2.01,broken clouds
141,Cabo San Lucas,MX,22.8909,-109.9124,94.6,53,20,5.99,few clouds
142,Khatanga,RU,71.9667,102.5,59.31,69,53,5.06,broken clouds
143,Kungalv,SE,57.871,11.9805,62.67,84,4,2.19,clear sky
144,Jamestown,US,42.097,-79.2353,82.02,38,6,8.99,clear sky
145,Ust-Nera,RU,64.5667,143.2,61.54,60,60,5.7,broken clouds
146,Guerrero Negro,MX,27.9769,-114.0611,79.21,55,21,13.94,few clouds
147,The Valley,AI,18.217,-63.0578,85.1,72,0,15.5,clear sky
148,Okato,NZ,-39.2,173.8833,52.18,90,69,17.49,moderate rain
149,Saldanha,ZA,-33.0117,17.9442,55.96,87,14,11.16,few clouds
150,Saint-Augustin,CA,51.226,-58.6502,56.88,75,100,9.53,overcast clouds
151,Jumla,NP,29.2747,82.1838,62.8,98,100,1.68,overcast clouds
152,Luderitz,NA,-26.6481,15.1594,54.52,86,60,2.68,broken clouds
153,Nikolskoye,RU,59.7035,30.7861,61.81,78,100,3.74,overcast clouds
154,Pevek,RU,69.7008,170.3133,39.61,78,94,2.46,overcast clouds
155,Kinston,US,35.2627,-77.5816,97.16,28,99,12.46,overcast clouds
156,Kunming,CN,25.0389,102.7183,63.21,92,69,1.05,broken clouds
157,Bakal,RU,54.9417,58.8083,50.16,93,94,1.99,overcast clouds
158,Carnarvon,AU,-24.8667,113.6333,70.07,55,100,6.98,overcast clouds
159,Boende,CD,-0.2167,20.8667,75.4,81,100,1.63,overcast clouds
160,Luwuk,ID,-0.9516,122.7875,76.14,91,95,5.1,overcast clouds
161,Simbahan,PH,6.3032,120.5836,82.96,71,71,6.35,broken clouds
162,Sitka,US,57.0531,-135.33,59.02,98,100,4.34,moderate rain
163,Biak,ID,-0.9131,122.8766,74.84,89,96,7.02,overcast clouds
164,Gagino,RU,55.2314,45.0339,65.48,82,2,4.92,clear sky
165,Souillac,MU,-20.5167,57.5167,68.38,88,75,8.05,broken clouds
