City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
575,Villarrica,PY,79.16,overcast clouds,-25.75,-56.4333,Mansión Reljuv Tours SA
579,Cancun,MX,89.53,broken clouds,21.1743,-86.8466,Hotel Tankah Cancun
585,Naze,JP,81.52,few clouds,28.3667,129.4833,Shishime Hotel
586,Marsh Harbour,BS,83.53,few clouds,26.5412,-77.0636,Abaco Beach Resort
587,Santo Antonio Do Ica,BR,83.79,scattered clouds,-3.1022,-67.9397,HOTEL AMAZON WAY
590,Kismayo,SO,76.89,overcast clouds,-0.3582,42.5454,Agan-Hotel
591,Tursunzoda,TJ,89.08,clear sky,38.5144,68.2333,Osoishgokhi Tabobati
596,Dasoguz,TM,84.15,clear sky,41.8363,59.9666,Hotel Erik
597,Balkhash,KZ,78.35,broken clouds,46.844,74.9804,Family
598,Mangrol,IN,80.87,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
599,Osypenko,UA,75.79,scattered clouds,46.9136,36.8253,
600,Turbat,PK,82.09,overcast clouds,26.0023,63.044,Mubashar Quarters
606,Gidam,IN,75.92,overcast clouds,18.9833,81.4,Dhanshree Lodge And DormItory
609,Awallan,PH,76.93,overcast clouds,17.9244,121.913,Bunuga Baggao Cagayan
610,Makakilo City,US,82.15,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
612,Aurora,US,77.67,broken clouds,39.7294,-104.8319,Best Western Plus Gateway Inn & Suites
615,Ishigaki,JP,82.53,few clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
618,Labuhan,ID,75.65,broken clouds,-6.8844,112.2051,DoubleFAG
620,Huaiyin,CN,75.7,overcast clouds,33.5886,119.0192,锦江之星
622,Monrovia,LR,78.57,overcast clouds,6.3005,-10.7969,Sunset Inn
625,Mansa,IN,83.64,light rain,29.9833,75.3833,STARiHOTEL Mansa
629,Durango,MX,75.81,overcast clouds,24.8333,-104.8333,
632,Muroto,JP,80.08,scattered clouds,33.2833,134.15,Oota Ryokan
633,Salalah,OM,77.09,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
641,Marzuq,YE,84.33,overcast clouds,14.4,46.4667,
644,Vaitape,PF,79.41,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
645,Qarqin,AF,89.2,clear sky,37.4185,66.0436,
646,Jay,US,84.85,overcast clouds,44.5039,-70.2162,
647,Goure,NE,82.02,broken clouds,13.9835,10.2704,
649,Lazaro Cardenas,MX,85.66,few clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
651,Pailon,BO,89.28,scattered clouds,-17.65,-62.75,La plaza
652,Gumdag,TM,85.26,light rain,39.2061,54.5906,
655,Sao Filipe,CV,79.38,scattered clouds,14.8961,-24.4956,Hotel Xaguate
